RB	name	PC1	PC2	MAT	MAP	pH	SOC	TN	TP	NH4+	NO3-	R.OC	R.N	AGB	BGB	BD
RB.61	RB.61	-0.10938624	-0.17272727	13.7	577.8	8.505	12.01050273	1.010563406	0.836354808	5.6615	9.3595	356.3494726	0.613030053	649.08	518.52	1.15
RB.67	RB.67	-0.102703296	-0.222061438	6.2	618.3	8.055	11.76218375	1.175618258	0.696357633	4.9405	14.2085	302.5660264	0.696898027	243.23	855.43	1.56
RB.69	RB.69	-0.133048979	-0.182886927	7.4	429.8	8.06	15.63684492	1.778240874	0.70775867	6.0455	42.8845	337.3585704	0.563999278	213.48	761.22	0.97
RB.72	RB.72	-0.013150469	-0.043128039	7.7	359	8.405	15.32390332	1.75572175	0.625703041	8.2635	41.058	337.2799127	0.840855495	166.63	651.29	1.13
RB.74	RB.74	-0.080698162	0.158659837	9.5	259.8	9.07	5.124832784	0.554829126	0.385427542	7.7645	5.086	374.7567993	0.537355817	22.57	199.74	1.32
RB.76	RB.76	-0.098053748	0.105891276	9.2	176.5	9.26	8.49246038	0.94118588	0.912206765	5.67	7.608	220.1037558	0.537169485	31	267.85	1.26
RB.79	RB.79	-0.026615768	0.091115682	7.9	186.2	8.685	4.197136962	0.45474639	0.452445257	6.7355	1.646	379.2137533	0.820819816	78.13	422.95	1.33
RB.82	RB.82	0.308852437	0.051074935	9.9	192.3	9.005	4.521071079	0.500546033	0.464271934	5.9215	2.6595	346.8377015	0.511345876	24.06	72.2	1.26
RB.87	RB.87	0.338313156	0.057262749	9.2	188.4	8.64	3.970561521	0.422198268	0.374287908	7.5315	10.638	313.4996903	1.003808142	45.52	204.24	1.39
RB.88	RB.88	-0.125176295	-0.11848911	10.1	167.2	8.495	10.32231919	1.176211821	0.669305473	6.0845	4.8795	438.3994562	0.957483998	27.2	372.65	1.53
RB.9	RB.9	-0.123251908	-0.110838982	11.3	569.7	8.54	8.139238052	0.810097663	0.604096042	4.8065	18.2405	269.4132288	1.162420251	408.74	2427.22	1.03
RB.90	RB.90	0.035938049	0.126567309	9.7	138.8	8.125	21.23742123	1.56875641	0.543201961	8.6345	43.6425	386.8599859	0.545772893	13.9	358.5	1.39
RB.91	RB.91	-0.03690137	0.066199094	9.5	182.9	8.435	14.18635379	1.295357778	0.401171724	11.339	10.5665	368.592437	0.689528118	31.51	571.23	1.37
RB.93	RB.93	-0.029841568	0.124879229	9.5	182.9	8.525	3.208546915	0.37774006	0.62142839	5.225	22.869	258.7772397	0.704723798	33.63	2087.38	1.29
RB.94	RB.94	-0.066543759	0.027778468	8.6	282.3	8.675	5.750993963	0.516231546	0.332552742	3.7085	2.379	341.1933993	0.787840924	99.07	501.54	1.44
RB.B001	RB.B001	-0.118770314	-0.029174335	7.2	390.6	8.545	6.726014511	0.73906162	0.686464964	6.0935	14.278	317.4577257	2.641380616	117.98	316.58	1.13
RB.B002	RB.B002	-0.07055771	0.049602485	9.7	273.7	8.53	15.58988118	1.326618865	0.793469095	6.3755	30.8505	353.5266865	1.362883269	117.98	316.58	1.13
RB.B003	RB.B003	-0.134936788	0.068571785	9.2	409.5	8.785	2.964399824	0.344597972	0.377285505	4.4	2.7175	424.4080146	0.65589416	117.98	316.58	1.13
RB.B583	RB.B583	-0.137065518	-0.105966641	10	470.2	8.415	21.39595543	1.764675238	0.578307581	5.084	19.1345	375.6026563	0.796357524	117.98	316.58	1.13
RB.B585	RB.B585	-0.054263095	-0.032941262	9.7	676.4	8.29	9.931346911	1.075646396	0.587900501	8.3785	10.927	364.9521818	1.011973183	117.98	316.58	1.13
RB.B585T	RB.B585T	-0.119856723	-0.051452392	9.7	676.4	8.515	10.01596438	1.043363556	0.585279946	9.7635	18.186	368.0408541	0.489150249	117.98	316.58	1.13
