S	MAT	MAP	pH	SOC	TN	TP	NH4+	NO3-	R.OC	R.N	AGB	BGB	BD
S.101	8.6	282.3	8.55	5.813527892	0.575915459	0.363871312	5.335	13.495	319.2616389	0.556241164	53.12	168.51	1.37
S.103	9.5	259.8	9.04	2.831169385	0.25332005	0.182657527	4.9085	3.395	372.1518402	1.647396551	61.42	224.26	1.58
S.112	6.9	425.5	8.095	27.90605635	2.609112053	0.707862507	11.5045	37.67	233.9032841	0.797810961	691.51	428.29	1
S.113	6.9	425.5	8.385	21.44365938	1.777612942	0.50885264	7.763	49.9215	367.3023412	0.670905121	126.86	247.94	1.16
S.14	9.7	676.4	8.265	14.05390839	1.496211314	0.687519144	13.094	19.8095	336.1263248	0.632115507	275.73	700.33	1.39
S.16	10	592.4	8.39	24.55819697	2.329349227	0.616582088	6.9515	15.7195	361.6676895	0.730968391	289.51	636.97	1.2
S.21	9.2	506.6	8.805	3.410995736	0.364161964	0.497661112	8.4675	10.4285	331.2188785	0.714182879	121.52	208.12	1.11
S.24	8.4	471.9	8.43	5.961638564	0.569873442	0.670703309	8.449	31.8075	307.1838491	0.48167086	391.17	1080.31	1.16
S.243	10.4	293.9	8.6	8.495705268	1.06363536	0.750002441	6.18	13.875	294.6735843	1.028122135	19.79	922.92	1.2
S.245	7.2	377	7.93	25.725	0.8	0.68827204	7.1405	58.356	178.3507516	0.622528953	194.68	1246.2	1.24
S.246	9.7	273.7	8.74	3.653373521	0.406151787	0.689408496	5.8765	7.553	326.2611706	1.002640876	45.28	1778.55	1.35
S.247	7.2	377	8.6	7.17991114	0.661179824	0.660929087	9.946	26.0215	322.879732	0.756132096	26.15	615.14	1.43
S.24G	8.4	471.9	8.43	6.990512832	0.808654587	0.547794525	6.3835	12.342	312.6679661	0.987802297	26.15	615.14	1.3
S.25	8.2	442.6	8.56	6.536416802	0.8	0.533412691	5.8705	11.9395	332.9331943	0.658694025	140.31	1270.93	1.16
S.252	9.4	223.9	7.705	2.469046181	0.289595833	0.544240077	7.6895	12.9075	220.4323539	0.586765164	49.34	867.79	1.23
S.253	8.9	191.8	8.86	7.728889712	0.864904995	0.67723	5.698	26.926	513.2868794	0.297451687	32.61	433.01	1.18
S.260	9.1	179.7	8.22	12.82112792	1.038685047	0.767708215	5.066	14.805	383.8365436	1.294558843	37.37	233.69	1.37
S.27	8.8	324.5	8.765	3.88468729	0.392186009	0.406385441	4.327	7.2965	519.3540831	0.984373344	94.77	363.84	1.52
S.313	10.4	293.9	8.555	4.63451512	0.514663718	0.756005528	8.106	18.2545	338.2441045	1.080905726	104.13	2731.02	1.12
S.36	8.8	324.5	7.405	7.839609042	0.826212907	0.541211933	10.775	9.686	441.147541	0.918673941	167.77	2019.05	1.22
S.4	11.1	572.7	7.2	30.8402618	3.027208516	0.909314014	6.693	50.7955	304.3434466	1.35166546	269.16	912.71	1.15
S.416	8.9	191.8	8.505	5.646826522	0.639887296	0.512742434	8.126	7.3065	418.8333279	1.001066153	90.6	236.83	1.42
S.418	10.4	293.9	8.245	8.093043011	1.022720171	0.637516811	6.634	98.3765	393.5135195	1.19189846	124.57	99.97	1.05
S.419	7.4	245.8	8.75	8.038707247	0.773933179	0.5	6.115	14.686	379.6497765	0.933728938	76.57	89.07	1.14
S.41B	8.8	324.5	8.45	9.699656737	0.865254345	0.373655345	8.4525	11.5765	387.3426783	0.932673548	153.92	375.58	1.18
S.41D	8.8	324.5	8.41	10.86069419	1.060081843	0.573633637	5.994	17.157	349.5515853	0.094308129	153.92	375.58	1.2
S.42	8.8	324.5	8.46	5.243032839	0.697354344	0.571184482	5.94	12.769	308.3711583	0.658758294	93.14	584.22	1.24
S.420	5.8	322.8	8.655	4.949393821	0.489913522	0.613840606	4.1705	5.9565	387.9231681	1.041431918	40.71	354.52	1.41
S.424	7.3	501.3	8.33	11.06441593	1.358454674	0.692469651	12.4395	24.738	374.0931076	1.088359992	66.89	456.27	1.11
S.488	12.9	601.6	8.21	13.3682436	1.433887848	0.387685806	9.207	22.8815	359.3257332	0.976534858	231.65	2482.13	1.61
S.50	8.8	384.7	8.485	18.50388313	1.10477709	0.743837931	5.559	21.404	378.336238	0.528565702	233.16	823.78	1.46
S.512	7.1	509.9	8.01	23.92947928	1.821270975	0.72204618	12.4765	18.485	299.9334463	0.938895235	160.79	2386.31	1.18
S.513	9	509.4	8.22	7.593856718	0.910976044	0.506840503	7.278	11.444	343.7423709	0.679949261	319.7	2279.09	1.36
S.514	9	509.4	8.25	13.55824493	1.289791636	0.657732917	9.751	23.657	348.2058393	1.44067591	232.8	1309.96	1.39
S.517	10.4	423.3	8.77	10.14	0.753387767	0.352840925	4.885	8.9775	343.7423709	0.679949261	200.1	739.86	1.58
S.524	8.3	397.1	8.31	11.56385433	1.237830234	0.474972701	8.843	43.544	348.2058393	1.44067591	213.55	1973.43	1.26
S.526	8.8	417.8	7.885	17.68516101	1.719042719	0.817823665	9.0915	14.726	259.9254688	0.578470726	460.42	1742.17	1.32
S.527	9.7	413.8	8.34	17.51385484	1.611429041	0.665814394	10.652	25.0125	386.2533294	0.645709225	283.83	4199.84	1.19
S.534	13	505.5	8.38	11.20562248	1.102783022	0.372399325	5.4885	8.453	309.3813475	0.696644018	142.97	1575.87	1.3
S.542	4.2	407	8.538333333	2.269897882	0.318148059	0.579245661	3.585666667	4.8615	309.3813475	0.696644018	229.11	1861.7	1.3
S.558	8.4	489.6	8.385	12.73283173	1.266256989	0.574153658	10.3885	8.22	446.8237676	0.827717062	258.43	1616.45	1.06
S.55T	10.3	400.2	7.475	5.675996406	0.463597637	0.500337397	7.3005	8.443	291.6748874	1.077540825	218.16	413.51	1.39
S.56	9.5	406.1	8.735	9.480561308	0.576136228	0.442875604	8.576	9.1675	311.0423613	0.772576481	213.1	1034.42	1.33
S.563	7.3	569.4	8.39	24.59554404	1.206874244	0.574122225	5.36	9.9505	357.0520379	0.747250436	222.67	861.13	1.26
S.565T	6.4	444.6	8.75	3.532105676	0.357838631	0.520031548	10.0085	2.6465	313.1214221	1.216914682	248.41	1791.44	1.26
S.566T	7.1	460.4	7.66	20.21769425	1.920274217	1.251373054	10.2275	17.2765	338.1123344	0.993219187	207.01	1408.53	1.38
S.567	9.3	482.9	8.7	12.86	0.749674785	0.697767164	6.5855	8.3065	391.3715486	0.707722673	287.54	1226.93	1.42
S.569C	7.9	413.2	8.47	7.013224845	0.717801525	0.616743967	8.8465	30.727	402.2465088	0.993219187	229.68	608.21	1.4
S.569Z	7.9	413.2	8.56	5.982505621	0.528998152	0.50651513	6.207	11.233	391.3715486	0.729458272	229.68	608.21	1.3
S.57	9.2	410.3	8.75	9.209121973	1.367823549	0.500532621	6.4365	7.3375	374.3430761	0.914367576	143.46	1230.59	1.59
S.570	5.4	460.4	8.39	11.8588016	1.196092249	0.709927989	6.528	10.501	348.4844575	0.98729976	202	2011.95	1.48
S.571	7.3	447.6	8.195	17.324471	1.589181016	0.676001992	5.5385	32.381	326.0156984	0.737850071	552.8	2628.36	1.11
S.575	10.5	514.9	8.11	24.92324572	1.929733506	0.402275562	5.273	11.7695	377.1251177	0.863871107	293.12	1429.14	1.19
S.577	11	464.6	8.405	9.467176801	0.936884556	0.622089412	8.3085	7.701	364.2970193	0.5012777	202.7	1021.03	1.44
S.578	9.8	476.5	8.675	8.728992499	0.829698388	0.534354602	8.266	3.676	382.6118978	0.290367055	281.54	1234.32	1.34
S.579	9.4	553.1	8.375	26.21868807	2.232097451	0.482944196	6.705	6.809	382.6118978	0.290367055	348.5	1164.97	1.45
S.58	10.1	410.6	8.76	3.278714657	0.410330255	0.534820429	5.9905	1.52	371.0162158	0.290367055	273.52	1079.9	1.16
S.59	10.3	516.1	8.39	20.62349478	1.831238043	0.5062943	6.753	13.473	348.5327511	0.54063328	336.11	610.11	1.22
S.6	12.2	606.1	8.375	17.74973962	1.736717511	0.343050263	7.008	2.3505	340.8782568	0.628730443	367.34	598.37	1.3
S.60	14.2	597.8	8.75	6.716143198	0.61421063	0.566853636	6.753	10.14	326.9649975	0.702485328	267.37	812.67	1.23
S.600	10.9	510.5	8.245	39.14960505	3.152855464	0.530189212	16.32	16.558	356.3494726	0.613030053	267.37	812.67	1.2
S.61	13.7	577.8	8.505	12.01050273	1.010563406	0.836354808	5.6615	9.3595	356.3494726	0.613030053	649.08	518.52	1.15
S.67	6.2	618.3	8.055	11.76218375	1.175618258	0.696357633	4.9405	14.2085	302.5660264	0.696898027	243.23	855.43	1.56
S.69	7.4	429.8	8.06	15.63684492	1.778240874	0.70775867	6.0455	42.8845	337.3585704	0.563999278	213.48	761.22	0.97
S.72	7.7	359	8.405	15.32390332	1.75572175	0.625703041	8.2635	41.058	337.2799127	0.840855495	166.63	651.29	1.13
S.74	9.5	259.8	9.07	5.124832784	0.554829126	0.385427542	7.7645	5.086	374.7567993	0.537355817	22.57	199.74	1.32
S.76	9.2	176.5	9.26	8.49246038	0.94118588	0.912206765	5.67	7.608	220.1037558	0.537169485	31	267.85	1.26
S.79	7.9	186.2	8.685	4.197136962	0.45474639	0.452445257	6.7355	1.646	379.2137533	0.820819816	78.13	422.95	1.33
S.82	9.9	192.3	9.005	4.521071079	0.500546033	0.464271934	5.9215	2.6595	346.8377015	0.511345876	24.06	72.2	1.26
S.87	9.2	188.4	8.64	3.970561521	0.422198268	0.374287908	7.5315	10.638	313.4996903	1.003808142	45.52	204.24	1.39
S.88	10.1	167.2	8.495	10.32231919	1.176211821	0.669305473	6.0845	4.8795	438.3994562	0.957483998	27.2	372.65	1.53
S.9	11.3	569.7	8.54	8.139238052	0.810097663	0.604096042	4.8065	18.2405	269.4132288	1.162420251	408.74	2427.22	1.03
S.90	9.7	138.8	8.125	21.23742123	1.56875641	0.543201961	8.6345	43.6425	386.8599859	0.545772893	13.9	358.5	1.39
S.91	9.5	182.9	8.435	14.18635379	1.295357778	0.401171724	11.339	10.5665	368.592437	0.689528118	31.51	571.23	1.37
S.93	9.5	182.9	8.525	3.208546915	0.37774006	0.62142839	5.225	22.869	258.7772397	0.704723798	33.63	2087.38	1.29
S.94	8.6	282.3	8.675	5.750993963	0.516231546	0.332552742	3.7085	2.379	341.1933993	0.787840924	99.07	501.54	1.44
S.B001	7.2	390.6	8.545	6.726014511	0.73906162	0.686464964	6.0935	14.278	317.4577257	2.641380616	117.98	316.58	1.13
S.B002	9.7	273.7	8.53	15.58988118	1.326618865	0.793469095	6.3755	30.8505	353.5266865	1.362883269	117.98	316.58	1.13
S.B003	9.2	409.5	8.785	2.964399824	0.344597972	0.377285505	4.4	2.7175	424.4080146	0.65589416	117.98	316.58	1.13
S.B583	10	470.2	8.415	21.39595543	1.764675238	0.578307581	5.084	19.1345	375.6026563	0.796357524	117.98	316.58	1.13
S.B585	9.7	676.4	8.29	9.931346911	1.075646396	0.587900501	8.3785	10.927	364.9521818	1.011973183	117.98	316.58	1.13
S.B585T	9.7	676.4	8.515	10.01596438	1.043363556	0.585279946	9.7635	18.186	368.0408541	0.489150249	117.98	316.58	1.13
