Sample name	shannon	part	type	family
RB.419	10.052	Rhizopl.	Desert steppe	Artemisia Linn.
RB.41B	10.818	Rhizopl.	Temperate grassland	other
RB.41D	10.775	Rhizopl.	Temperate grassland	Stipa
RB.42	8.462	Rhizopl.	Temperate grassland	Agropyron
RB.420	10.867	Rhizopl.	Desert steppe	Stipa
RB.424	10.899	Rhizopl.	Desert steppe	Agropyron
RB.488	10.956	Rhizopl.	Warm-temperate grassland	Artemisia Linn.
RB.50	11.612	Rhizopl.	Temperate grassland	Artemisia Linn.
RB.512	11.349	Rhizopl.	Warm-temperate grassland	Artemisia Linn.
RB.513	10.888	Rhizopl.	Warm-temperate grassland	Artemisia Linn.
RB.514	10.929	Rhizopl.	Warm-temperate grassland	Artemisia Linn.
RB.517	11.069	Rhizopl.	Warm-temperate grassland	Artemisia Linn.
RB.524	11.029	Rhizopl.	Temperate grassland	Artemisia Linn.
RB.526	11.124	Rhizopl.	Temperate grassland	Agropyron
RB.527	11.134	Rhizopl.	Warm-temperate grassland	Artemisia Linn.
RB.534	11.318	Rhizopl.	Warm-temperate grassland	Stipa
RB.542	11.276	Rhizopl.	Temperate grassland	Stipa
RB.55	10.66	Rhizopl.	Temperate grassland	Artemisia Linn.
RB.558	11.287	Rhizopl.	Warm-temperate grassland	Artemisia Linn.
RB.563	11.423	Rhizopl.	Warm-temperate grassland	Artemisia Linn.
RB.565	10.327	Rhizopl.	Temperate grassland	Artemisia Linn.
RB.566	10.273	Rhizopl.	Warm-temperate grassland	Artemisia Linn.
RB.567	11.209	Rhizopl.	Warm-temperate grassland	other
RB.569C	10.612	Rhizopl.	Temperate grassland	Agropyron
RB.569Z	11.233	Rhizopl.	Temperate grassland	other
RB.57	11.143	Rhizopl.	Temperate grassland	Stipa
RB.570	11.414	Rhizopl.	Temperate grassland	Artemisia Linn.
RB.571	11.342	Rhizopl.	Warm-temperate grassland	Artemisia Linn.
RB.575	11.191	Rhizopl.	Warm-temperate grassland	Artemisia Linn.
RB.577	10.976	Rhizopl.	Warm-temperate grassland	Artemisia Linn.
RB.578	10.589	Rhizopl.	Warm-temperate grassland	Artemisia Linn.
RB.579	11.056	Rhizopl.	Warm-temperate grassland	Stipa
RB.58	10.129	Rhizopl.	Temperate grassland	Artemisia Linn.
RB.59	9.022	Rhizopl.	Temperate grassland	Artemisia Linn.
RB.6	11.072	Rhizopl.	Warm-temperate grassland	Stipa
RB.60	7.32	Rhizopl.	Warm-temperate grassland	Stipa
RB.600	11.261	Rhizopl.	Warm-temperate grassland	Artemisia Linn.
RB.61	11.291	Rhizopl.	Warm-temperate grassland	Artemisia Linn.
RB.67	11.404	Rhizopl.	Warm-temperate grassland	other
RB.69	11.314	Rhizopl.	Temperate grassland	other
RB.72	10.445	Rhizopl.	Temperate grassland	Stipa
RB.74	10.543	Rhizopl.	Desert steppe	Artemisia Linn.
RB.76	10.731	Rhizopl.	Desert steppe	Stipa
RB.79	10.543	Rhizopl.	Desert steppe	Artemisia Linn.
RB.82	8.748	Rhizopl.	Desert steppe	Artemisia Linn.
RB.87	5.599	Rhizopl.	Desert steppe	Stipa
RB.88	11.179	Rhizopl.	Desert steppe	Stipa
RB.9	11.083	Rhizopl.	Warm-temperate grassland	Agropyron
RB.90	9.291	Rhizopl.	Desert steppe	other
RB.91	10.728	Rhizopl.	Desert steppe	Stipa
RB.93	10.411	Rhizopl.	Desert steppe	Stipa
RB.94	10.895	Rhizopl.	Desert steppe	Stipa
RB.B001	10.88	Rhizopl.	Temperate grassland	Agropyron
RB.B002	10.389	Rhizopl.	Desert steppe	Stipa
RB.B003	10.842	Rhizopl.	Temperate grassland	Stipa
RB.B583	10.988	Rhizopl.	Warm-temperate grassland	Stipa
RB.B585	9.239	Rhizopl.	Warm-temperate grassland	Stipa
RB.B585T	11.01	Rhizopl.	Warm-temperate grassland	Artemisia Linn.
RJ.101	7.993	Rhizosp.	Desert steppe	Stipa
RJ.103	9.437	Rhizosp.	Desert steppe	other
RJ.112	8.037	Rhizosp.	Temperate grassland	Stipa
RJ.113	8.546	Rhizosp.	Temperate grassland	Stipa
RJ.14	11.393	Rhizosp.	Warm-temperate grassland	Stipa
RJ.16	10.958	Rhizosp.	Warm-temperate grassland	Artemisia Linn.
RJ.21	7.71	Rhizosp.	Warm-temperate grassland	Agropyron
RJ.24	10.965	Rhizosp.	Temperate grassland	Artemisia Linn.
RJ.243	8.182	Rhizosp.	Temperate grassland	Agropyron
RJ.245	8.507	Rhizosp.	Temperate grassland	Stipa
RJ.246	7.594	Rhizosp.	Temperate grassland	Agropyron
RJ.247	8.54	Rhizosp.	Temperate grassland	Agropyron
RJ.24G	11.217	Rhizosp.	Temperate grassland	Artemisia Linn.
RJ.25	11.147	Rhizosp.	Temperate grassland	Stipa
RJ.252	7.759	Rhizosp.	Desert steppe	Stipa
RJ.253	8.101	Rhizosp.	Desert steppe	Reaumuria Linn.
RJ.260	8.493	Rhizosp.	Desert steppe	Stipa
RJ.27	11.199	Rhizosp.	Temperate grassland	Agropyron
RJ.313	8.049	Rhizosp.	Desert steppe	Agropyron
RJ.36	10.986	Rhizosp.	Temperate grassland	Stipa
RJ.4	8.904	Rhizosp.	Warm-temperate grassland	other
RJ.416	7.823	Rhizosp.	Desert steppe	Reaumuria Linn.
RJ.418	9.97	Rhizosp.	Desert steppe	Reaumuria Linn.
RJ.419	10.674	Rhizosp.	Desert steppe	Artemisia Linn.
RJ.41B	11.014	Rhizosp.	Temperate grassland	other
RJ.41D	8.354	Rhizosp.	Temperate grassland	Stipa
RJ.42	11.359	Rhizosp.	Temperate grassland	Agropyron
RJ.420	10.782	Rhizosp.	Desert steppe	Stipa
RJ.424	10.746	Rhizosp.	Desert steppe	Agropyron
RJ.488	10.664	Rhizosp.	Warm-temperate grassland	Artemisia Linn.
RJ.50	11.269	Rhizosp.	Temperate grassland	Artemisia Linn.
RJ.512	10.835	Rhizosp.	Warm-temperate grassland	Artemisia Linn.
RJ.513	10.869	Rhizosp.	Warm-temperate grassland	Artemisia Linn.
RJ.514	10.947	Rhizosp.	Warm-temperate grassland	Artemisia Linn.
RJ.517	10.995	Rhizosp.	Warm-temperate grassland	Artemisia Linn.
RJ.524	10.808	Rhizosp.	Temperate grassland	Artemisia Linn.
RJ.526	10.553	Rhizosp.	Temperate grassland	Agropyron
RJ.527	10.78	Rhizosp.	Warm-temperate grassland	Artemisia Linn.
RJ.534	10.641	Rhizosp.	Warm-temperate grassland	Stipa
