pc vector number	part	type	shu	ke	pc vector number	PC1	PC2			
S.247	1Soil	Temperate grassland	Agropyron	Gramineae	S.247	0.203140154	0.02364095			
S.24G	1Soil	Temperate grassland	Artemisia Linn.	Asteraceae	S.24G	0.223308785	-0.009821325			
S.25	1Soil	Temperate grassland	Stipa	Gramineae	S.25	0.188572721	-0.028784769			
S.252	1Soil	Desert steppe	Stipa	Gramineae	S.252	0.146677794	-0.058662807			
S.253	1Soil	Desert steppe	Reaumuria Linn.	other	S.253	0.078794627	-0.105801768			
S.260	1Soil	Desert steppe	Stipa	Gramineae	S.260	0.159803727	-0.060562191			
S.27	1Soil	Temperate grassland	Agropyron	Gramineae	S.27	0.196873749	-0.003908144			
S.313	1Soil	Desert steppe	Agropyron	Gramineae	S.313	0.187710716	-0.015821943			
S.36	1Soil	Temperate grassland	Stipa	Gramineae	S.36	0.181033853	-0.016670797			
S.4	1Soil	Warm-temperate grassland	other	Gramineae	S.4	0.021822027	0.023071506			
S.416	1Soil	Desert steppe	Reaumuria Linn.	other	S.416	-0.04256326	-0.144682441			
S.418	1Soil	Desert steppe	Reaumuria Linn.	other	S.418	0.035294547	-0.118042685			
S.419	1Soil	Desert steppe	Artemisia Linn.	Asteraceae	S.419	0.151360709	-0.063008335			
S.41B	1Soil	Temperate grassland	other	other	S.41B	0.201967658	-0.005312703			
S.41D	1Soil	Temperate grassland	Stipa	Gramineae	S.41D	0.190084302	-0.040162247			
S.42	1Soil	Temperate grassland	Agropyron	Gramineae	S.42	0.193473169	-0.027815154			
S.420	1Soil	Desert steppe	Stipa	Gramineae	S.420	0.146009731	-0.062575456			
S.424	1Soil	Desert steppe	Agropyron	Gramineae	S.424	0.219615676	-0.01730336			
S.488	1Soil	Warm-temperate grassland	Artemisia Linn.	Asteraceae	S.488	0.138690231	0.030767813			
S.50	1Soil	Temperate grassland	Artemisia Linn.	Asteraceae	S.50	0.138818161	0.031382294			
S.512	1Soil	Warm-temperate grassland	Artemisia Linn.	Asteraceae	S.512	0.215257359	0.042904024			
S.513	1Soil	Warm-temperate grassland	Artemisia Linn.	Asteraceae	S.513	0.236951039	0.060136833			
S.514	1Soil	Warm-temperate grassland	Artemisia Linn.	Asteraceae	S.514	0.199516901	0.07427283			
S.517	1Soil	Warm-temperate grassland	Artemisia Linn.	Asteraceae	S.517	0.156687698	0.049240235			
S.524	1Soil	Temperate grassland	Artemisia Linn.	Asteraceae	S.524	0.243518971	0.032989257			
S.526	1Soil	Temperate grassland	Agropyron	Gramineae	S.526	0.164715897	0.056018539			
S.527	1Soil	Warm-temperate grassland	Artemisia Linn.	Asteraceae	S.527	0.250131149	0.066464363			
S.534	1Soil	Warm-temperate grassland	Stipa	Gramineae	S.534	0.121885686	-0.077724639			
S.542	1Soil	Temperate grassland	Stipa	Gramineae	S.542	0.197867665	0.002719906			
S.55	1Soil	Warm-temperate grassland	Artemisia Linn.	Asteraceae	S.55	0.226319162	0.063233267			
S.558	1Soil	Temperate grassland	Artemisia Linn.	Asteraceae	S.558	0.245922799	0.044063018			
S.56	1Soil	Temperate grassland	other	Gramineae	S.56	0.202840514	0.03720407			
S.563	1Soil	Warm-temperate grassland	Artemisia Linn.	Asteraceae	S.563	0.220902018	0.077507054			
S.565	1Soil	Temperate grassland	Artemisia Linn.	Asteraceae	S.565	0.184213362	-0.00638155			
S.566	1Soil	Warm-temperate grassland	Artemisia Linn.	Asteraceae	S.566	0.169427948	0.039270474			
S.567	1Soil	Warm-temperate grassland	other	Gramineae	S.567	0.244852875	0.075517928			
S.569C	1Soil	Temperate grassland	Agropyron	Gramineae	S.569C	0.207425064	0.028033554			
S.569Z	1Soil	Temperate grassland	other	Gramineae	S.569Z	0.124099856	-0.028274326			
S.57	1Soil	Temperate grassland	Stipa	Gramineae	S.57	0.21103118	0.033770984			
S.570	1Soil	Temperate grassland	Artemisia Linn.	Asteraceae	S.570	0.196062365	0.064977889			
S.571	1Soil	Warm-temperate grassland	Artemisia Linn.	Asteraceae	S.571	0.228604725	0.057182322			
S.575	1Soil	Warm-temperate grassland	Artemisia Linn.	Asteraceae	S.575	0.224729252	0.058079073			
S.577	1Soil	Warm-temperate grassland	Artemisia Linn.	Asteraceae	S.577	0.20763288	0.056714509			
S.578	1Soil	Warm-temperate grassland	Artemisia Linn.	Asteraceae	S.578	0.235632355	0.049487196			
S.579	1Soil	Warm-temperate grassland	Stipa	Gramineae	S.579	0.227056521	0.039253728			
S.58	1Soil	Temperate grassland	Artemisia Linn.	Asteraceae	S.58	0.168333471	-0.015216148			
S.59	1Soil	Warm-temperate grassland	Artemisia Linn.	Asteraceae	S.59	0.224491872	0.036767847			
S.6	1Soil	Warm-temperate grassland	Stipa	Gramineae	S.6	0.09834968	0.031616129			
S.60	1Soil	Warm-temperate grassland	Stipa	Gramineae	S.60	0.200728454	-0.013761583			
S.600	1Soil	Warm-temperate grassland	Artemisia Linn.	Asteraceae	S.600	0.177966404	0.049437819			
S.61	1Soil	Warm-temperate grassland	Artemisia Linn.	Asteraceae	S.61	0.21003308	0.061523106			
S.67	1Soil	Warm-temperate grassland	other	Gramineae	S.67	0.132965318	0.068184399			
S.69	1Soil	Temperate grassland	other	Gramineae	S.69	0.177373792	0.063838498			
S.72	1Soil	Temperate grassland	Stipa	Gramineae	S.72	0.246821331	0.040398286			
S.74	1Soil	Desert steppe	Artemisia Linn.	Asteraceae	S.74	0.102343715	-0.096545574			
S.76	1Soil	Desert steppe	Stipa	Gramineae	S.76	0.12548523	-0.078771259			
S.79	1Soil	Desert steppe	Artemisia Linn.	Asteraceae	S.79	0.070639549	-0.124645717			
S.82	1Soil	Desert steppe	Artemisia Linn.	Asteraceae	S.82	0.073940513	-0.107550655			
S.87	1Soil	Desert steppe	Stipa	Gramineae	S.87	0.146775388	-0.057235593			
S.88	1Soil	Desert steppe	Stipa	Gramineae	S.88	0.098093091	-0.100726492			
S.9	1Soil	Warm-temperate grassland	Agropyron	Gramineae	S.9	0.185923365	0.049632587			
S.90	1Soil	Desert steppe	other	Gramineae	S.90	0.134440302	-0.077390152			
S.91	1Soil	Desert steppe	Stipa	Gramineae	S.91	0.104962003	-0.093651527			
S.93	1Soil	Desert steppe	Stipa	Gramineae	S.93	0.090910028	-0.076043599			
S.94	1Soil	Desert steppe	Stipa	Gramineae	S.94	0.149379264	-0.057904936			
S.B001	1Soil	Temperate grassland	Agropyron	Gramineae	S.B001	0.173044341	0.036376763			
S.B002	1Soil	Desert steppe	Stipa	Gramineae	S.B002	0.162973864	-0.008311353			
S.B003	1Soil	Temperate grassland	Stipa	Gramineae	S.B003	0.166430255	-0.034734156			
S.B583	1Soil	Warm-temperate grassland	Stipa	Gramineae	S.B583	0.210787127	0.073698636			
S.B585	1Soil	Warm-temperate grassland	Stipa	Gramineae	S.B585	0.237800048	0.04551625			
S.B585T	1Soil	Warm-temperate grassland	Artemisia Linn.	Asteraceae	S.B585T	0.232944507	0.043215659			
