pc vector number	part	type	shu	ke	pc vector number	PC1	PC2			
R.60	4Endosp.	Warm-temperate grassland	Stipa	Gramineae	R.60	-0.239811259	-0.071772551			
R.600	4Endosp.	Warm-temperate grassland	Artemisia Linn.	Asteraceae	R.600	-0.579684815	0.269190499			
R.61	4Endosp.	Warm-temperate grassland	Artemisia Linn.	Asteraceae	R.61	-0.579196525	0.199482008			
R.67	4Endosp.	Warm-temperate grassland	other	Gramineae	R.67	-0.260008737	-0.107214936			
R.69	4Endosp.	Temperate grassland	other	Gramineae	R.69	-0.250835475	-0.039542905			
R.72	4Endosp.	Temperate grassland	Stipa	Gramineae	R.72	-0.514202156	0.241146926			
R.74	4Endosp.	Desert steppe	Artemisia Linn.	Asteraceae	R.74	-0.521376382	0.175227794			
R.76	4Endosp.	Desert steppe	Stipa	Gramineae	R.76	-0.255851856	-0.103873319			
R.79	4Endosp.	Desert steppe	Artemisia Linn.	Asteraceae	R.79	-0.512458246	0.255656626			
R.82	4Endosp.	Desert steppe	Artemisia Linn.	Asteraceae	R.82	-0.390924505	0.028931887			
R.87	4Endosp.	Desert steppe	Stipa	Gramineae	R.87	-0.178412983	-0.067664163			
R.88	4Endosp.	Desert steppe	Stipa	Gramineae	R.88	-0.244061928	-0.088780681			
R.9	4Endosp.	Warm-temperate grassland	Agropyron	Gramineae	R.9	-0.278858222	-0.073404469			
R.90	4Endosp.	Desert steppe	other	Gramineae	R.90	-0.174785501	-0.096629566			
R.91	4Endosp.	Desert steppe	Stipa	Gramineae	R.91	-0.171216934	-0.059829769			
R.93	4Endosp.	Desert steppe	Stipa	Gramineae	R.93	-0.201638436	-0.081841442			
R.94	4Endosp.	Desert steppe	Stipa	Gramineae	R.94	-0.249417593	-0.065003706			
R.B001	4Endosp.	Temperate grassland	Agropyron	Gramineae	R.B001	-0.177062255	-0.045270262			
R.B002	4Endosp.	Desert steppe	Stipa	Gramineae	R.B002	-0.150052023	-0.085258064			
R.B003	4Endosp.	Temperate grassland	Stipa	Gramineae	R.B003	-0.176330213	-0.054860848			
R.B583	4Endosp.	Warm-temperate grassland	Stipa	Gramineae	R.B583	-0.24513717	-0.076626202			
