#sampleID	Description	Env	SourceSink	Study	Details
R.60	R.60	Endosp.	sink	Warm-temperate grassland	Swab_was_taken_from_NICU_Pyxus_Med_machine_keyboard_MB
R.600	R.600	Endosp.	sink	Warm-temperate grassland	Swab_was_taken_from_NICU_incubator_computer_keyboard_UCSD
R.61	R.61	Endosp.	sink	Warm-temperate grassland	Swab_was_taken_from_NICU_Pyxus_Med_machine_keyboard_UCSD
R.67	R.67	Endosp.	sink	Warm-temperate grassland	Swab_was_taken_from_NICU_baby_open_bedside_plastic_exterior2_MB
R.69	R.69	Endosp.	sink	Temperate grassland	Swab_was_taken_from_NICU_baby_open_bedside_plastic_exterior_MB
R.72	R.72	Endosp.	sink	Temperate grassland	Swab_was_taken_from_NICU_baby_open_bedside_touch_screen_on_vitals_monitoring_device_MB
R.74	R.74	Endosp.	sink	Desert steppe	Swab_was_taken_from_NICU_baby_open_bedside_touch_screen_on_vitals_monitoring_device_UCSD
R.76	R.76	Endosp.	sink	Desert steppe	Swab_sample_from_woman_chair_in_Tucson_office_room_13
R.79	R.79	Endosp.	sink	Desert steppe	Swab_sample_from_woman_chair_in_Tucson_office_room_19
R.82	R.82	Endosp.	sink	Desert steppe	Swab_sample_from_woman_chair_in_Tucson_office_room_22
R.87	R.87	Endosp.	sink	Desert steppe	Swab_sample_from_woman_chair_in_Tucson_office_room_24
R.88	R.88	Endosp.	sink	Desert steppe	Swab_sample_from_woman_chair_in_Tucson_office_room_4
R.9	R.9	Endosp.	sink	Warm-temperate grassland	Swab_sample_from_man_chair_in_Tucson_office_room_11
R.90	R.90	Endosp.	sink	Desert steppe	Swab_sample_from_man_chair_in_Tucson_office_room_15
R.91	R.91	Endosp.	sink	Desert steppe	Swab_sample_from_man_chair_in_Tucson_office_room_18
R.93	R.93	Endosp.	sink	Desert steppe	Swab_sample_from_man_chair_in_Tucson_office_room_23
R.94	R.94	Endosp.	sink	Desert steppe	Swab_sample_from_man_chair_in_Tucson_office_room_25
R.B001	R.B001	Endosp.	sink	Temperate grassland	Swab_sample_from_woman_chair_in_New_York_office_room_16
R.B002	R.B002	Endosp.	sink	Desert steppe	Swab_sample_from_woman_chair_in_New_York_office_room_22
R.B003	R.B003	Endosp.	sink	Temperate grassland	Swab_sample_from_woman_chair_in_New_York_office_room_4
R.B583	R.B583	Endosp.	sink	Warm-temperate grassland	Swab_sample_from_woman_chair_in_New_York_office_room_7
RB.101	RB.101	Rhizopl.	source	Desert steppe	Swab_sample_from_man_chair_in_New_York_office_room_18
RB.103	RB.103	Rhizopl.	source	Desert steppe	Swab_sample_from_man_chair_in_New_York_office_room_23
RB.104	RB.104	Rhizopl.	source	Desert steppe	Swab_sample_from_man_chair_in_New_York_office_room_31
RB.112	RB.112	Rhizopl.	source	Temperate grassland	Swab_sample_from_man_chair_in_New_York_office_room_5
RB.113	RB.113	Rhizopl.	source	Temperate grassland	Swab_sample_from_woman_chair_in_San_Francisco_office_room_10
RB.14	RB.14	Rhizopl.	source	Warm-temperate grassland	Swab_sample_from_woman_chair_in_San_Francisco_office_room_2
RB.16	RB.16	Rhizopl.	source	Warm-temperate grassland	Swab_sample_from_woman_chair_in_San_Francisco_office_room_23
RB.21	RB.21	Rhizopl.	source	Warm-temperate grassland	Swab_sample_from_woman_chair_in_San_Francisco_office_room_24
RB.24	RB.24	Rhizopl.	source	Temperate grassland	Swab_sample_from_woman_chair_in_San_Francisco_office_room_3
RB.243	RB.243	Rhizopl.	source	Temperate grassland	Swab_sample_from_man_chair_in_San_Francisco_office_room_16
RB.245	RB.245	Rhizopl.	source	Temperate grassland	Swab_sample_from_man_chair_in_San_Francisco_office_room_28
RB.246	RB.246	Rhizopl.	source	Temperate grassland	Swab_sample_from_man_chair_in_San_Francisco_office_room_29
RB.247	RB.247	Rhizopl.	source	Temperate grassland	Swab_sample_from_man_chair_in_San_Francisco_office_room_5
RB.24G	RB.24G	Rhizopl.	source	Temperate grassland	Swab_sample_from_man_chair_in_San_Francisco_office_room_7
RB.25	RB.25	Rhizopl.	source	Temperate grassland	Swab_sample_from_woman_phone_in_Tucson_office_room_24
RB.252	RB.252	Rhizopl.	source	Desert steppe	Swab_sample_from_man_phone_in_Tucson_office_room_11
RB.253	RB.253	Rhizopl.	source	Desert steppe	Swab_sample_from_woman_phone_in_Tucson_office_room_4
RB.260	RB.260	Rhizopl.	source	Desert steppe	Swab_sample_from_woman_phone_in_Tucson_office_room_22
RB.27	RB.27	Rhizopl.	source	Temperate grassland	Swab_sample_from_man_phone_in_Tucson_office_room_15
RB.313	RB.313	Rhizopl.	source	Desert steppe	Swab_sample_from_man_phone_in_Tucson_office_room_18
RB.36	RB.36	Rhizopl.	source	Temperate grassland	Swab_sample_from_man_phone_in_Tucson_office_room_23
RB.4	RB.4	Rhizopl.	source	Warm-temperate grassland	Swab_sample_from_man_phone_in_Tucson_office_room_25
RB.416	RB.416	Rhizopl.	source	Desert steppe	Swab_sample_from_woman_phone_in_New_York_office_room_4
RB.418	RB.418	Rhizopl.	source	Desert steppe	Swab_sample_from_man_phone_in_New_York_office_room_18
RB.419	RB.419	Rhizopl.	source	Desert steppe	Swab_sample_from_woman_phone_in_New_York_office_room_22
RB.41B	RB.41B	Rhizopl.	source	Temperate grassland	Swab_sample_from_woman_phone_in_New_York_office_room_16
RB.41D	RB.41D	Rhizopl.	source	Temperate grassland	Swab_sample_from_woman_phone_in_New_York_office_room_7
RB.42	RB.42	Rhizopl.	source	Temperate grassland	Swab_sample_from_woman_phone_in_New_York_office_room_19
RB.420	RB.420	Rhizopl.	source	Desert steppe	Swab_sample_from_man_phone_in_New_York_office_room_23
RB.424	RB.424	Rhizopl.	source	Desert steppe	Swab_sample_from_man_phone_in_New_York_office_room_28
RB.488	RB.488	Rhizopl.	source	Warm-temperate grassland	Swab_sample_from_man_phone_in_New_York_office_room_31
