	R_RJ	R_RB	R-S	RB-RJ	RB-S	RJ-S	MAP	type
R.6	0.505451323	0.543901574	0.57802994	0.456725615	0.47154581	0.51478985	606.1	Warm-temperate grassland
R.60	0.706165076	0.653460907	0.780357251	0.674247687	0.735651483	0.51304326	597.8	Warm-temperate grassland
R.600	0.682001083	0.66863956	0.667083608	0.468242968	0.5218965	0.545507889	510.5	Warm-temperate grassland
R.61	0.68438311	0.680269248	0.711036203	0.42487427	0.483711015	0.476342957	577.8	Warm-temperate grassland
R.67	0.598477252	0.589456977	0.652768342	0.364463897	0.470051072	0.458148809	618.3	Warm-temperate grassland
R.69	0.583724155	0.571285459	0.634422033	0.430092513	0.471838315	0.498040101	429.8	Temperate grassland
R.72	0.635154581	0.599515105	0.70031451	0.49625785	0.563253754	0.555436253	359	Temperate grassland
R.74	0.60757227	0.650380683	0.706124421	0.501316285	0.488749104	0.525228795	259.8	Desert steppe
R.76	0.607881807	0.598456277	0.65385188	0.400874708	0.501998594	0.478969536	176.5	Desert steppe
R.79	0.61561287	0.59458076	0.677552825	0.442159931	0.544887431	0.571091423	186.2	Desert steppe
R.82	0.648251288	0.615265647	0.711871637	0.719630669	0.731904639	0.542589551	192.3	Desert steppe
R.87	0.586297983	0.643144989	0.683547498	0.748951598	0.795894585	0.508655819	188.4	Desert steppe
R.88	0.700522573	0.680061307	0.710732789	0.43529743	0.608675053	0.600449532	167.2	Desert steppe
R.9	0.627815049	0.627189282	0.725697444	0.392056609	0.613484622	0.593777667	569.7	Warm-temperate grassland
R.90	0.570863525	0.551672891	0.683572858	0.522393903	0.608233146	0.639063966	138.8	Desert steppe
R.91	0.533181317	0.494219824	0.638609678	0.441703331	0.528268286	0.532028	182.9	Desert steppe
R.93	0.567015524	0.546898326	0.634577325	0.495550327	0.520078927	0.591457501	182.9	Desert steppe
R.94	0.597569425	0.609638768	0.682662317	0.488622793	0.511624213	0.54901901	282.3	Desert steppe
R.B001	0.566486561	0.543666058	0.59334517	0.423974531	0.449606417	0.437148362	390.6	Temperate grassland
R.B002	0.573271831	0.568792541	0.609645556	0.410014048	0.493097022	0.518743096	273.7	Desert steppe
R.B003	0.587592256	0.558299643	0.625678783	0.375081099	0.461199077	0.445264963	409.5	Temperate grassland
R.B583	0.690824826	0.668487785	0.723563324	0.470022372	0.472229961	0.496630475	470.2	Warm-temperate grassland
R.585	0.6560719	0.595679751	0.686641249	0.454291143	0.501167613	0.452502591	676.4	Warm-temperate grassland
R.585T	0.668198855	0.632275662	0.689356694	0.398829384	0.454397081	0.411697162	676.4	Warm-temperate grassland
