sampleID	part	type
RB.90	Rhizopl.	Desert steppe
RB.91	Rhizopl.	Desert steppe
RB.93	Rhizopl.	Desert steppe
RB.94	Rhizopl.	Desert steppe
RB.B001	Rhizopl.	Temperate grassland
RB.B002	Rhizopl.	Desert steppe
RB.B003	Rhizopl.	Temperate grassland
RB.B583	Rhizopl.	Warm-temperate grassland
RB.B585	Rhizopl.	Warm-temperate grassland
RB.B585T	Rhizopl.	Warm-temperate grassland
RJ.101	Rhizosp.	Desert steppe
RJ.103	Rhizosp.	Desert steppe
RJ.104	Rhizosp.	Desert steppe
RJ.112	Rhizosp.	Temperate grassland
RJ.113	Rhizosp.	Temperate grassland
RJ.14	Rhizosp.	Warm-temperate grassland
RJ.16	Rhizosp.	Warm-temperate grassland
RJ.21	Rhizosp.	Warm-temperate grassland
RJ.24	Rhizosp.	Temperate grassland
RJ.243	Rhizosp.	Temperate grassland
RJ.245	Rhizosp.	Temperate grassland
RJ.246	Rhizosp.	Temperate grassland
RJ.247	Rhizosp.	Temperate grassland
RJ.24G	Rhizosp.	Temperate grassland
RJ.25	Rhizosp.	Temperate grassland
RJ.252	Rhizosp.	Desert steppe
RJ.253	Rhizosp.	Desert steppe
RJ.260	Rhizosp.	Desert steppe
RJ.27	Rhizosp.	Temperate grassland
RJ.313	Rhizosp.	Desert steppe
RJ.36	Rhizosp.	Temperate grassland
RJ.4	Rhizosp.	Warm-temperate grassland
RJ.416	Rhizosp.	Desert steppe
RJ.418	Rhizosp.	Desert steppe
RJ.419	Rhizosp.	Desert steppe
RJ.41B	Rhizosp.	Temperate grassland
RJ.41D	Rhizosp.	Temperate grassland
RJ.42	Rhizosp.	Temperate grassland
RJ.420	Rhizosp.	Desert steppe
RJ.424	Rhizosp.	Desert steppe
RJ.488	Rhizosp.	Warm-temperate grassland
RJ.50B	Rhizosp.	Temperate grassland
RJ.512	Rhizosp.	Warm-temperate grassland
RJ.513	Rhizosp.	Warm-temperate grassland
RJ.514	Rhizosp.	Warm-temperate grassland
RJ.517	Rhizosp.	Warm-temperate grassland
RJ.524	Rhizosp.	Temperate grassland
RJ.526	Rhizosp.	Temperate grassland
RJ.527	Rhizosp.	Warm-temperate grassland
RJ.534	Rhizosp.	Warm-temperate grassland
RJ.54	Rhizosp.	Temperate grassland
RJ.542	Rhizosp.	Temperate grassland
RJ.55	Rhizosp.	Temperate grassland
RJ.558	Rhizosp.	Warm-temperate grassland
RJ.56	Rhizosp.	Temperate grassland
RJ.563	Rhizosp.	Warm-temperate grassland
RJ.565	Rhizosp.	Temperate grassland
RJ.566	Rhizosp.	Warm-temperate grassland
RJ.567	Rhizosp.	Warm-temperate grassland
RJ.569C	Rhizosp.	Temperate grassland
RJ.569Z	Rhizosp.	Temperate grassland
RJ.57	Rhizosp.	Temperate grassland
RJ.570	Rhizosp.	Temperate grassland
RJ.571	Rhizosp.	Warm-temperate grassland
RJ.575	Rhizosp.	Warm-temperate grassland
RJ.577	Rhizosp.	Warm-temperate grassland
RJ.578	Rhizosp.	Warm-temperate grassland
RJ.579	Rhizosp.	Warm-temperate grassland
RJ.58	Rhizosp.	Temperate grassland
RJ.59	Rhizosp.	Temperate grassland
RJ.6	Rhizosp.	Warm-temperate grassland
RJ.60	Rhizosp.	Warm-temperate grassland
RJ.600	Rhizosp.	Warm-temperate grassland
RJ.61	Rhizosp.	Warm-temperate grassland
RJ.67	Rhizosp.	Warm-temperate grassland
RJ.69	Rhizosp.	Temperate grassland
RJ.72	Rhizosp.	Temperate grassland
RJ.74	Rhizosp.	Desert steppe
RJ.76	Rhizosp.	Desert steppe
RJ.79	Rhizosp.	Desert steppe
RJ.82	Rhizosp.	Desert steppe
RJ.87	Rhizosp.	Desert steppe
RJ.88	Rhizosp.	Desert steppe
RJ.9	Rhizosp.	Warm-temperate grassland
RJ.90	Rhizosp.	Desert steppe
RJ.91	Rhizosp.	Desert steppe
RJ.93	Rhizosp.	Desert steppe
RJ.94	Rhizosp.	Desert steppe
RJ.B001	Rhizosp.	Temperate grassland
RJ.B002	Rhizosp.	Desert steppe
RJ.B003	Rhizosp.	Temperate grassland
RJ.B583	Rhizosp.	Warm-temperate grassland
RJ.B585	Rhizosp.	Warm-temperate grassland
RJ.B585T	Rhizosp.	Warm-temperate grassland
S.B001	Soil	Temperate grassland
S.101	Soil	Desert steppe
S.103	Soil	Desert steppe
S.104	Soil	Desert steppe
S.112	Soil	Temperate grassland
S.113	Soil	Temperate grassland
S.14	Soil	Warm-temperate grassland
S.16	Soil	Warm-temperate grassland
S.21	Soil	Warm-temperate grassland
S.24	Soil	Temperate grassland
S.243	Soil	Temperate grassland
S.245	Soil	Temperate grassland
S.246	Soil	Temperate grassland
S.247	Soil	Temperate grassland
S.24G	Soil	Temperate grassland
S.25	Soil	Temperate grassland
S.252	Soil	Desert steppe
S.253	Soil	Desert steppe
S.260	Soil	Desert steppe
S.27	Soil	Temperate grassland
S.313	Soil	Desert steppe
S.36	Soil	Temperate grassland
S.4	Soil	Warm-temperate grassland
S.416	Soil	Desert steppe
S.418	Soil	Desert steppe
S.419	Soil	Desert steppe
S.41B	Soil	Temperate grassland
S.41D	Soil	Temperate grassland
S.42	Soil	Temperate grassland
S.420	Soil	Desert steppe
S.424	Soil	Desert steppe
S.488	Soil	Warm-temperate grassland
S.50	Soil	Temperate grassland
S.512	Soil	Warm-temperate grassland
S.513	Soil	Warm-temperate grassland
S.514	Soil	Warm-temperate grassland
S.517	Soil	Warm-temperate grassland
S.524	Soil	Temperate grassland
S.526	Soil	Temperate grassland
S.527	Soil	Warm-temperate grassland
S.534	Soil	Warm-temperate grassland
S.54	Soil	Temperate grassland
S.542	Soil	Temperate grassland
S.558	Soil	Warm-temperate grassland
S.55T	Soil	Temperate grassland
S.56	Soil	Temperate grassland
S.563	Soil	Warm-temperate grassland
S.565	Soil	Temperate grassland
S.566	Soil	Warm-temperate grassland
S.567	Soil	Warm-temperate grassland
S.569C	Soil	Temperate grassland
S.569Z	Soil	Temperate grassland
S.57	Soil	Temperate grassland
S.570	Soil	Temperate grassland
S.571	Soil	Warm-temperate grassland
S.575	Soil	Warm-temperate grassland
S.577	Soil	Warm-temperate grassland
S.578	Soil	Warm-temperate grassland
S.579	Soil	Warm-temperate grassland
S.58	Soil	Temperate grassland
