sampleID	part	type	family	Genus	geo	Group3	MAP	Group4
S.527	Soil	Warm-temperate grassland	Artemisia Linn.	Asteraceae	441.330935	G4	413.8	M3
S.534	Soil	Warm-temperate grassland	Stipa	Gramineae	268.2003696	G5	505.5	M4
S.542	Soil	Temperate grassland	Stipa	Gramineae	534.3912849	G4	407	M3
S.55	Soil	Warm-temperate grassland	Artemisia Linn.	Asteraceae	599.0054908	G3	400.2	M3
S.558	Soil	Temperate grassland	Artemisia Linn.	Asteraceae	400.4428421	G5	489.6	M4
S.56	Soil	Temperate grassland	other	Gramineae	313.7015335	G5	406.1	M3
S.563	Soil	Warm-temperate grassland	Artemisia Linn.	Asteraceae	544.0339122	G4	569.4	M5
S.565	Soil	Temperate grassland	Artemisia Linn.	Asteraceae	501.8967084	G4	444.6	M4
S.566	Soil	Warm-temperate grassland	Artemisia Linn.	Asteraceae	457.8542785	G4	460.4	M4
S.567	Soil	Warm-temperate grassland	other	Gramineae	613.7897612	G3	482.9	M4
S.569C	Soil	Temperate grassland	Agropyron	Gramineae	613.7897612	G3	413.2	M3
S.569Z	Soil	Temperate grassland	other	Gramineae	584.6699968	G3	413.2	M3
S.57	Soil	Temperate grassland	Stipa	Gramineae	527.45636	G4	410.3	M3
S.570	Soil	Temperate grassland	Artemisia Linn.	Asteraceae	475.6048557	G4	460.4	M4
S.571	Soil	Warm-temperate grassland	Artemisia Linn.	Asteraceae	314.2808903	G5	447.6	M4
S.575	Soil	Warm-temperate grassland	Artemisia Linn.	Asteraceae	350.9165561	G5	514.9	M5
S.577	Soil	Warm-temperate grassland	Artemisia Linn.	Asteraceae	380.0957774	G5	464.6	M4
S.578	Soil	Warm-temperate grassland	Artemisia Linn.	Asteraceae	229.0087517	G5	476.5	M4
S.579	Soil	Warm-temperate grassland	Stipa	Gramineae	454.6985999	G4	553.1	M5
S.58	Soil	Temperate grassland	Artemisia Linn.	Asteraceae	378.6186257	G5	410.6	M3
S.59	Soil	Temperate grassland	Artemisia Linn.	Asteraceae	567.8214322	G3	516.1	M5
S.6	Soil	Warm-temperate grassland	Stipa	Gramineae	327.9565505	G5	606.1	M5
S.60	Soil	Warm-temperate grassland	Stipa	Gramineae	237.8717901	G5	597.8	M5
S.600	Soil	Warm-temperate grassland	Artemisia Linn.	Asteraceae	377.441117	G5	510.5	M5
S.61	Soil	Warm-temperate grassland	Artemisia Linn.	Asteraceae	682.118754	G3	577.8	M5
S.67	Soil	Warm-temperate grassland	other	Gramineae	700.9286057	G2	618.3	M5
S.69	Soil	Temperate grassland	other	Gramineae	784.8634698	G2	429.8	M3
S.72	Soil	Temperate grassland	Stipa	Gramineae	775.4541528	G2	359	M2
S.74	Soil	Desert steppe	Artemisia Linn.	Asteraceae	830.2913405	G2	259.8	M1
S.76	Soil	Desert steppe	Stipa	Gramineae	838.7827788	G1	176.5	M1
S.79	Soil	Desert steppe	Artemisia Linn.	Asteraceae	798.5046345	G2	186.2	M1
S.82	Soil	Desert steppe	Artemisia Linn.	Asteraceae	754.7207501	G2	192.3	M1
S.87	Soil	Desert steppe	Stipa	Gramineae	834.8044292	G2	188.4	M1
S.88	Soil	Desert steppe	Stipa	Gramineae	544.3322898	G4	167.2	M1
S.9	Soil	Warm-temperate grassland	Agropyron	Gramineae	839.8051827	G1	569.7	M5
S.90	Soil	Desert steppe	other	Gramineae	835.8550815	G2	138.8	M1
S.91	Soil	Desert steppe	Stipa	Gramineae	835.7481575	G2	182.9	M1
S.93	Soil	Desert steppe	Stipa	Gramineae	700.6066942	G2	182.9	M1
S.94	Soil	Desert steppe	Stipa	Gramineae	785.1842098	G2	282.3	M2
S.B001	Soil	Temperate grassland	Agropyron	Gramineae	961.2800471	G1	390.6	M3
S.B002	Soil	Desert steppe	Stipa	Gramineae	698.3881129	G2	273.7	M1
S.B003	Soil	Temperate grassland	Stipa	Gramineae	614.0145141	G3	409.5	M3
S.B583	Soil	Warm-temperate grassland	Stipa	Gramineae	428.9020116	G4	470.2	M4
S.B585	Soil	Warm-temperate grassland	Stipa	Gramineae	551.5298716	G3	676.4	M5
S.B585T	Soil	Warm-temperate grassland	Artemisia Linn.	Asteraceae	551.5298716	G3	676.4	M5
